common_name,scientific_name,abundance,status,family,notes
Eastern Yellow Wagtail ,Motacilla tschutschensis,C,WV,Motacillidae,-
Paddyfield Pipit,Anthus rufulus,C,RB,Motacillidae,-
Rock Dove,Columba livia,A,IRB,Columbidae,-
Spotted Dove,Spilopelia chinensis,A,RB,Columbidae,-
Pink-necked Green Pigeon,Treron vernans,A,RB,Columbidae,-
Collared Kingfisher,Todiramphus chloris,A,RB,Alcedinidae,-
Sunda Pygmy Woodpecker,Dendrocopos moluccensis,A,RB,Picidae,-
Yellow-vented Bulbul,Pycnonotus goiavier,A,RB,Pycnonotidae,-
Barn Swallow,Hirundo rustica,A,WV PM,Hirundinidae,-
Javan Myna,Acridotheres javanicus,A,IRB,Sturnidae,**
