No.;Common Name;Scientific Name;Abundance;Status
Family Scolopacidae;;;;
103;Eurasian Woodcock;Scolopax rusticola;R;WV
104;Pin-tailed Snipe;Gallinago stenura;C;WV
105;Swinhoe's Snipe;Gallinago megala;R;WV
106;Common Snipe;Gallinago gallinago;C;WV
107;Asian Dowitcher *;Limnodromus semipalmatus;U;WV PM
108;Black-tailed Godwit *;Limosa limosa;U;WV PM
109;Bar-tailed Godwit *;Limosa lapponica;U;WV PM
110;Little Curlew;Numenius minutus;R;ACC
111;Whimbrel;Numenius phaeopus;C;WV PM
112;Eurasian Curlew *;Numenius arquata;R;WV PM
113;Far Eastern Curlew **;Numenius madagascariensis;R;PM
114;Spotted Redshank;Tringa erythropus;R;WV
115;Common Redshank;Tringa totanus;C;WV PM
116;Marsh Sandpiper;Tringa stagnatilis;C;WV PM
117;Common Greenshank;Tringa nebularia;C;WV
118;Nordmann's Greenshank **;Tringa guttifer;R;WV
119;Green Sandpiper;Tringa ochropus;R;WV
120;Wood Sandpiper;Tringa glareola;U;WV PM
121;Grey-tailed Tattler *;Tringa brevipes;R;WV PM
122;Terek Sandpiper;Xenus cinereus;U;WV PM
123;Common Sandpiper;Actitis hypoleucos;C;WV PM
124;Ruddy Turnstone;Arenaria interpres;U;WV
125;Great Knot **;Calidris tenuirostris;R;PM
126;Red Knot;Calidris canutus;R;WV
127;Sanderling;Calidris alba;U;WV
128;Red-necked Stint;Calidris ruficollis;C;WV PM
129;Little Stint ;Calidris minuta;R ;ACC
130;Temminck's Stint;Calidris temminckii;R;PM
131;Long-toed Stint;Calidris subminuta;U;WV PM
132;Pectoral Sandpiper;Calidris melanotos;R;ACC
133;Sharp-tailed Sandpiper;Calidris acuminata;R;ACC
134;Curlew Sandpiper;Calidris ferruginea;U;WV PM
135;Dunlin;Calidris alpina;R;PM
136;Spoon-billed Sandpiper **;Eurynorhynchus pygmeus;R;WV
137;Broad-billed Sandpiper;Limicola falcinellus;U;WV PM
138;Ruff;Philomachus pugnax;R;WV
139;Red-necked Phalarope;Phalaropus lobatus;R;WV
Family Glareolidae;;;;
140;Oriental Pratincole;Glareola maldivarum;U;PM
141;Small Pratincole;Glareola lactea;R;PM
Family Laridae;;;;
142;Brown-headed Gull;Chroicocephalus brunnicephalus;R;ACC
143;Black-headed Gull;Chroicocephalus ridibundus;U;WV
144;Lesser Black-backed Gull;Larus fuscus;R;ACC
145;Gull-billed Tern;Gelochelidon nilotica;R;WV PM
146;Caspian Tern;Hydroprogne caspia;R;WV
147;Greater Crested Tern;Thalasseus bergii;C;WV
148;Lesser Crested Tern;Thalasseus bengalensis;C;WV
149;Little Tern ##;Sternula albifrons;C;RB WV
150;Aleutian Tern;Onychoprion aleuticus;U;PM
151;Bridled Tern;Onychoprion anaethetus;U;WV
152;Roseate Tern;Sterna dougallii;R;ACC
153;Black-naped Tern ##;Sterna sumatrana;U;RB
154;Common Tern;Sterna hirundo;U;WV
155;Whiskered Tern;Chlidonias hybrida;U;WV PM
156;White-winged Tern;Chlidonias leucopterus;C;WV PM
Family Stercorariidae;;;;
157;Pomarine Skua;Stercorarius pomarinus;R;WV
158;Parasitic Jaeger;Stercorarius parasiticus;R;WV
159;Long-tailed Jaeger;Stercorarius longicaudus;R;WV
Family Columbidae;;;;
160;Rock Dove;Columba livia;A;IRB
161;Red Turtle Dove;Streptopelia tranquebarica;U;IRB
162;Spotted Dove;Spilopelia chinensis;A;RB
163;Common Emerald Dove;Chalcophaps indica;U;RB
164;Zebra Dove;Geopelia striata;C;RB
165;Cinnamon-headed Green Pigeon *;Treron fulvicollis;R;NBV
166;Little Green Pigeon ##;Treron olax;R;R(B)
167;Pink-necked Green Pigeon;Treron vernans;A;RB
168;Thick-billed Green Pigeon ##;Treron curvirostra;U;RB
169;Jambu Fruit Dove *;Ptilinopus jambu;U;NBV
170;Green Imperial Pigeon;Ducula aenea;U;RB
171;Mountain Imperial Pigeon;Ducula badia;R;NBV
172;Pied Imperial Pigeon;Ducula bicolor;U;IR(B) NBV
Family Cuculidae;;;;
173;Greater Coucal;Centropus sinensis;U;RB
174;Lesser Coucal;Centropus bengalensis;C;RB
175;Chestnut-bellied Malkoha #*;Phaenicophaeus sumatranus;U;RB
176;Chestnut-winged Cuckoo;Clamator coromandus;U;PM WV
177;Jacobin Cuckoo;Clamator jacobinus;R;ACC
178;Asian Koel;Eudynamys scolopaceus;C;RB WV
179;Asian Emerald Cuckoo;Chrysococcyx maculatus;R;ACC
180;Violet Cuckoo ##;Chrysococcyx xanthorhynchus;U;RB WV
181;Horsfield's Bronze Cuckoo;Chrysococcyx basalis;R;WV
182;Little Bronze Cuckoo;Chrysococcyx minutillus;C;RB
